title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Lopez,2016–2017,English,30min,Comedy,"John Altschuler,Dave Krinsky,George Lopez","George Lopez,Anthony 'Citric' Campos,Maronzio Vance",,,"Too rich to go back to his working-class Latino roots and too ""brown"" to feel comfortable in his affluent celebrity life, being George Lopez comes with many problems.",514000,5.4,https://imdb.com/video/vi289191193?playlistId=tt5457178&ref_=tt_ov_vi
Yalan Dünya,2012–2014,Turkish,3h 10min,Comedy,"Gülse Birsel,Altan Erkekli,Füsun Demirel",,"Official site,Official site","http://www.yalandunya.eu/,http://www.yalandunyadizisi.com/",Humorous way of life with three different family having diversified lifestyle habits.,6300,7.1,
Decoy,1957–1958,English,30min,"Crime,Drama","Beverly Garland,Frank Campanella,Joseph Sullivan",,,,New York City policewoman Casey Jones' assignment to fight crime often entails her going undercover in some of the seediest and most dangerous parts of the city.,212000,7.8,
The Busy World of Richard Scarry,1993–1997,English,30min,"Animation,Family","Peter Wildman,Denis Akiyama,Carl Banas",,,,"An entertaining and educational show for children about cartoon animals living in a small town, and the friendship between a cat and an earthworm.",1700,7.5,
Einstein,2017–2019,German,42min,"Comedy,Crime","Tom Beck,Annika Ernst,Rolf Kanies",,Official site,http://www.sat1.de/tv/einstein/,"Felix Winterberg is the great-great-grandson of the famous Albert Einstein and himself a recognized physics genius. Because of a deadly hereditary disease, the brilliant researcher only has a few years left - which he wants to make as labor-intensive as possible thanks to various illegal stimulants.",265000,6.5,
Naked Beach,2019– ,,,Reality-TV,"Felicity Hayward,Keon West",,,,A psychologist and body image expert work with groups of people with different body types to help them love their bodies.,24000,6.2,
IMDb at the Emmys,2016– ,English,,News,"Dan Babic,Dave Karger,Jill Kargman",,,,"IMDb has got television's biggest night covered. From videos that get you ready for the big night to interviews with the winners plus an exclusive live aftershow, IMDb is there to bring you all the action of the Emmys.",123000,4.7,https://imdb.com/video/vi296403225?playlistId=tt6026528&ref_=tt_ov_vi
Cardiac Arrest,1994–1996,English,30min,"Comedy,Drama",Jed Mercurio,"Andrew Lancel,Helen Baxendale,Ace Bhatti",,,"Comedy set in and around a hospital, where the newly qualified Dr Andrew Collin is thrown into a world that is totally beyond him.",134000,8.1,
Emergency-Ward 10,1957–1967,English,30min,Drama,"Jill Browne,Charles 'Bud' Tingwell,Frederick Bartman",,,,"Set in Oxbridge General Hospital, this soap opera focused equally on the lives and loves of its medical staff and the pressure of their work.",44000,6.4,
Bullseye,1981– ,English,30min,Game-Show,"Norman Vaughan,Andrew Wood","Jim Bowen,Tony Green,Nick Owen","Official Facebook,Official site","http://www.bullseyetvgameshow.com/,http://www.bullseyetvgameshow.com/",Contestants test their darts skills and general knowledge and battle it out to get to Bully's Prize Board.,304000,7.1,
Hollywood Game Night,2013– ,English,43min,"Comedy,Game-Show","Jane Lynch,Alexandria Sounis,Tim Neff",,"NBC (United States),Official Facebook","http://www.nbc.com/hollywood-game-night/,https://www.facebook.com/HollywoodGameNight","Features two contestants, each with a team of celebrity guests, competing in pop culture party games for a chance to win $25,000.",1600,7.2,https://imdb.com/video/vi4272865049?playlistId=tt3037520&ref_=tt_ov_vi
The McCarthys,2014–2015,English,21min,Comedy,Brian Gallivan,"Joey McIntyre,Jimmy Dunn,Jack McGee",Official Site,http://www.cbs.com/shows/the-mccarthys/,Comedy about a sports-crazed Irish-Catholic family that shares a three decker house in Boston and the one member that dares to move out on his own.,1600,6.4,https://imdb.com/video/vi294567193?playlistId=tt3434378&ref_=tt_ov_vi
Mystery Girls,2014,English,23min,Comedy,"Shepard Boucher,Tori Spelling","Tori Spelling,Jennie Garth,Miguel Pinzon",,,The comedy series follows two former detective TV show starlets brought back together by a real-life mystery.,892000,4.2,
Garrison's Gorillas,1967–1968,English,1h,"Adventure,Drama,War","Mort Green,David Karp","Ron Harper,Cesare Danova,Brendon Boone",,,"The adventures of a group of convicts recruited into the U.S. Army by the offer of a post-war parole. Commanded by West Point graduate, Lt. Garrison, the ""Gorillas"" function as commandos behind Nazi lines.",285000,7.8,
Tong Ling Fei,2018–2019,Chinese,,"Animation,Comedy,Drama,Romance",,,mal official,https://myanimelist.net/anime/38917/Tong_Ling_Fei,"The story of Psychic Princess follows Qian Yunxi, a young lady, sent to live in the mountains at the age of eight because she possessed ""strange abilities."" Her noble family marries her off to an enemy prince, Ye Youming, to restore peace and harmony, instead of her younger sister.Ye Youming clearly doesn't care much about the princess and also abandons her by sending...",75000,8.4,
Lost Cities with Albert Lin,2019– ,English,,"Documentary,History","Albert Yu-Min Lin,Duncan Lees,Joseph Angelo Steel",,Official site,https://www.nationalgeographic.com/tv/shows/lost-cities-with-albert-lin,"Utilizing ground-penetrating radar, LiDar and 3D scanning, Lin will work with boots-on-the-ground archaeologists to discover and re-create unexcavated worlds still hidden beneath the earth.",260000,7.8,https://imdb.com/video/vi1758379801?playlistId=tt10366494&ref_=tt_ov_vi
Big Lake,2010,English,,Comedy,Lewis Morton,"James Rebhorn,Chris Gethard,Horatio Sanz",,,"After causing the collapse of his bank, Josh Franklin must move home and deal with a family that doesn't want him around.",144000,5.8,
Love Actually,2017– ,Chinese,50min,"Comedy,Drama,Romance","Dawei Tong,Joe Chen,Kei Gambit",,Baidu Baike Official Site,https://baike.baidu.com/item/%E4%BA%BA%E9%97%B4%E8%87%B3%E5%91%B3%E6%98%AF%E6%B8%85%E6%AC%A2,"Ding Ren Jian is a married man with a child. He suddenly loses his job and starts working for Di Zhi Wei who is a young IT genius. Di Zhi Wei is interested in An Qing Huan, an older woman who works for his father restaurant chain. When Ding Ren Jian and An Qing Huan first meet they start fighting but rapidly develop a strong friendship. When Ding Ren Jian loses his wi...",115000,6.4,
Border Security: America's Front Line,2016– ,English,,Reality-TV,Jeff Cole,,"Official site,Official site","https://www.globaltv.com/bordersecurity,https://www.netflix.com/title/80107514","Border Security: America's Front Line follows the work of US Customs and Border Protection (CBP) officers and agents as they clear travelers at land, air and marine ports of entry, inspect cargo and secure America's borders. In search of illegal travelers, weapons, and contraband, there's never a dull moment for the men and women who work for CBP.",98000,6.7,
Listen Up,2004–2005,English,30min,"Comedy,Sport","Jason Alexander,Wendy Makkena,Daniella Monet",,CBS,http://www.cbs.com/primetime/listen_up/,"Tiny, O-shaped Tony Kleinman and his mate, former professional jock Bernie Widman, still a popular womanizer, co-present a TV talk show in Philadelphia, mainly devoted to sports and athletes of all disciplines. Tony compensates his size by a big mouth, often cleverly phrasing but alas almost as often too quickly yapping, as all too often he only talks himself into mor...",370000,5.8,
Your Movie Sucks,2010– ,English,,"Comedy,Talk-Show",Adam Johnston,Adam Johnston,"official site,Official YourMovieSucks website","http://www.yourmoviesucks.org/,http://www.yourmoviesucks.org/",Internet series in which host and creator Adam critiques a movie.,3700,8.5,
The Mighty Ones,2020– ,,,"Animation,Comedy,Family","Sunil Hall,Lynne Naylor","Josh Brener,Alex Cazares,Jessica McKenna",Hulu,https://www.hulu.com/series/the-mighty-ones-7b34470f-f28a-4740-8840-82a7355ce2ac,"The hilarious adventures of a group of creatures: a twig, a pebble, a leaf and a strawberry who live in an unkempt backyard belonging to a trio of equally unkempt humans whom they mistake for gods.",60000,7.3,https://imdb.com/video/vi64405785?playlistId=tt11714946&ref_=tt_ov_vi
The Two Coreys,2007–2008,English,30min,"Comedy,Reality-TV","Corey Feldman,Corey Haim,Susie Feldman",,,,A look at the lives of former child stars Corey Feldman and Corey Haim living together as adults.,1100,6.1,https://imdb.com/video/vi858504473?playlistId=tt0818149&ref_=tt_ov_vi
Under a Rock with Tig Notaro,2019– ,,,Comedy,"Tig Notaro,Julie Bowen,John Ross Bowie",,,,Comedian Tig Notaro interviews famous people she's never heard of.,68000,8.2,
Circe,,English,,"Drama,Fantasy",,,,,"A modern take on the world of Greek mythology told from the powerful feminist perspective of the goddess Circe, who transforms from an awkward nymph to a formidable witch, able to challenge gods, titans and monsters alike.",0,,
Knight's & Magic,2017– ,Japanese,24min,"Animation,Action,Fantasy","Rie Takahashi,Shinsuke Sugawara,Ayaka Ohashi",,Official site (jp),http://knights-magic.com/,"Ernesti, a programmer and mecha fan in his previous life, is reincarnated in a fantasy world where he sets out to pilot a humanoid weapon.",574000,7.2,
Punk'd,2020– ,,,"Short,Comedy,Reality-TV","Chance the Rapper,Matt Wheeler,Mary Beth Barone",,,,Chance the Rapper pulls pranks on Hollywood stars using hidden cameras and modern technology.,53000,5.0,https://imdb.com/video/vi2961489433?playlistId=tt10521204&ref_=tt_ov_vi
West Coast Customs,2013– ,English,44min,Reality-TV,"Ryan Friedlinghaus,Hunter Clancey,Wilee Delarosa",,Official site,http://www.westcoastcustoms.com/,"Chronicling the a car-customizing shop in Corona, Cal., and their clients' project vehicles.",462000,6.0,
Keep It in the Family,1980–1983,English,30min,"Comedy,Family","Robert Gillespie,Stacy Dorning,Glyn Houston",,,,"Dudley Rush is an artist with a difference. Eccentric and childlike, he insists of wearing his large lion ventriloquist glove-puppet on his hand whenever he draws the ""Barney, the Bionic Bulldog"" comic strip. Unhappy about having to spend what he considers valuable time working, he always procrastinates, which leads to him being late meeting the strip's deadlines. Thi...",80000,7.5,
Assy McGee,2006–2008,English,30min,"Animation,Comedy","Matt Harrigan,Carl W. Adams,H. Jon Benjamin","Larry Murphy,H. Jon Benjamin,Carl W. Adams",Adult Swim (United Kingdom),http://www.adultswim.co.uk/shows/assy.jsp,"Animated cop drama satire focusing on a grizzled, short tempered cop and his straight man partner, the former of which is simply a lower male torso.",1000,5.8,
El Rostro de Analía,2008– ,Spanish,45min,"Action,Crime,Drama,Mystery,Romance","Elizabeth Gutierrez,Martín Karpan,Maritza Rodríguez",,,,"A killer, Analia is paid to kill a businesswoman, Mariana Montiel. After the car they were in gets off the road and burns to flames, two doctors find the body of Mariana and a photo of the face of Analia. They fix Analia's face into Mariana's body. That's where the confusion will begin.",501000,7.8,
Beat Bugs,2016–2018,English,24min,"Animation,Short,Adventure,Comedy,Family,Fantasy,Musical",Josh Wakely,"Charles Demers,Rebecca Husain,Lili Beaudoin",,,"Beat Bugs is an animated series, revolving around the lives and adventures of five charming and funny child-like bugs who live in an overgrown American-style backyard.",478000,7.7,https://imdb.com/video/vi747026969?playlistId=tt4716268&ref_=tt_ov_vi
Siyavash,2021– ,Persian,,Drama,"Milad Keymaram,Mahsa Bagheri,Gity Ghasemi",,Instagram page,https://www.instagram.com/siyavashseries/,"What are you willing to do to support your family? If you are no longer a member of the family, do you do the right thing or wait for them to be destroyed?",3500,6.2,
Minecraft Manhunt,2019– ,English,,"Action,Adventure,Thriller","Dream,George Davidson,Nick Armstrong",,Playlist with all the episodes,https://www.youtube.com/playlist?list=PLChiKQUYPsJ9_ZXHeT287Ry2tIX1AiSkq,Record breaking speedrunner Dream attempts to beat Minecraft while an increasing number of his friends attempt to kill him. Can he win or will he be hunted down and stopped?,420000,9.0,
Qubool Hai 2.0,2021– ,Hindi,23min,Romance,"Daksh Sharma,Lillete Dubey,Karan Singh Grover",,"Qubool Hai 2.0 on ZEE5,zee5","https://www.zee5.com/global/zee5originals/details/qubool-hai-20/0-6-3190,https://www.zee5.com/","It is the story of Asad and Zoya -- two individuals who have surrendered to their ideals. One to the cause of his country, another to her duty towards her family.",870000,8.6,https://imdb.com/video/vi59818009?playlistId=tt13534870&ref_=tt_ov_vi
Suikoden,1973– ,Japanese,45min,"Action,Drama,History","Atsuo Nakamura,Sanae Tsuchida,Isamu Nagato",,,,"Nearly a thousand years ago in ancient China, there was a cruel government. 108 renegade will try to change the story.",593000,8.1,
Al Kabeer,2010–2015,Arabic,,"Comedy,Romance","Ahmed Mekky,Donia Samir Ghanem,Mohamed Shahin",,,,"The mayor of Al-Mazareeta, a small town in upper Egypt, met an American woman and had twins with her. One child stayed in Al-Mazareeta while the other went to America with his mother. After the mayor's death, the child that grew up in America goes over to Egypt to claim his father's title. The sons battle to see who will take over, but eventually they realize the valu...",2000,8.3,
Living Biblically,2018,English,30min,Comedy,Patrick Walsh,"Jay R. Ferguson,Lindsey Kraft,David Krumholtz",,,An adaptation of the non-fiction book by A.J. Jacobs in which a man tries to live in accordance with the Bible's teachings as closely as possible.,1000,5.0,https://imdb.com/video/vi1094694937?playlistId=tt1048176&ref_=tt_ov_vi
Yes,2020– ,Portuguese,4h,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller",Rafael Lange,"Rafael Knittel,Lucas Feuerschütte,Thiago Elias","Cellbit Twitch Lives,Official site","https://www.twitch.tv/cellbit,https://www.youtube.com/channel/UC2Dkdvw6-ladrHmWZNx2gRA","Living double lives, Ordo Realitas agents spread around the world, secretly investigate and prevent the paranormal from being formed, fighting against those who only want to wreak havoc in the world.",827000,9.5,
Mind of Mencia,2005–2008,English,30min,Comedy,"Carlos Mencia,Robert Morton,Gabe Abelson","Carlos Mencia,Brad Williams,Joseph Mencia",Comedy Central,http://www.comedycentral.com/shows/mind_of_mencia/index.jhtml,"Carlos Mencia is speaking his mind and taking no prisoners. Enter the Mind of Mencia and get ready for a merciless mix of up close stand-up, unconventional street interviews, and shocking commercial parodies.",4600,3.2,
Cross Ange: Rondo of Angel and Dragon,2014– ,"Japanese,English",,"Animation,Action,Romance,Sci-Fi","Emily Neves,Brittney Karbowski,Kat Cordes",,Official Website (Japan),http://crossange.com/,The first season follows the growth of a princess who first falls from grace but grows up to lead a rebellion once she learns the truth about the ignorance of racism in her land. Not explained yet in this season are also the dragons in the story that bring a big plot twist to the finale of season one.,364000,7.3,https://imdb.com/video/vi834714905?playlistId=tt3957232&ref_=tt_ov_vi
The Adventures of Super Mario Bros. 3,1990,English,11min,"Animation,Adventure,Comedy,Family,Fantasy","Bruce Shelly,Reed Shelly","Walker Boone,Tony Rosato,Tracey Moore",,,"Join Mario, and Luigi in 26 action packed adventures based on the classic NES video game.",991000,7.0,https://imdb.com/video/vi1631650329?playlistId=tt0098762&ref_=tt_ov_vi
Fraggle Rock,2021– ,English,,Family,"Dave Goelz,Karen Prell,John Tartaglia",,,,It follows the adventures of a group of cave-dwelling puppet creatures called Fraggles.,0,,
"Do, Re & Mi",2021– ,English,11min,"Animation,Family","Michael Scharf,Jackie Tohn","Kristen Bell,Jackie Tohn,Luke Youngblood",,,"The musical adventures of three bird friends who live in a world filled with rhythm, beats and melodies.",0,,
Weakest Link,2020– ,English,43min,"Short,Game-Show,Reality-TV","Jane Lynch,Debra Wilson,Peter Cameron",,Official site,https://www.nbc.com/weakest-link,"Reboot of the popular early-2000s game show where contestants answer trivia questions, bank money and vote off other contestants.",323000,7.0,https://imdb.com/video/vi2878390553?playlistId=tt12688394&ref_=tt_ov_vi
In aller Freundschaft,1998– ,German,45min,"Drama,Romance",Boris Anderson,"Thomas Rühmann,Andrea Kathrin Loewig,Alexa Maria Surholt",MDR (Germany),http://www.mdr.de/in-aller-freundschaft/,This show is focused on a fictional clinic in Leipzig called 'Sachsenklinik' as well as its staff and patients.,226000,4.7,
Search,2020,Korean,1h,"Mystery,Thriller","Dong-Yoon Jang,Krystal Jung,Bak Yoon",,Official Site (South Korea),http://program.tving.com/ocn/search,"""Search"" is a military thriller drama that takes place in the demilitarized zone (DMZ) and tells the story of a specialized search party that forms to uncover the truth behind mysterious disappearance and murder cases.",294000,7.3,
Monsieur Spade,,English,,Thriller,Clive Owen,,,,The famous detective Sam Spade is now 60 and living as an expat in the south of France in 1963.,0,,
These Days,2021– ,English,22min,"Short,Drama","Marianne Rendón,Parker Young,Sarah Tolan-Mee",,Sundance Film Festival - Film Page,https://fpg.festival.sundance.org/film-info/5fd19a4a63d677cbd5c3a95f,"Mae, lonely and self-isolating, navigates the world of online dating during the early days of quarantine. Her first attempt is a comic disaster, then she meets Will and her world begins to change in unexpected ways.",10000,6.8,
Beyond the Unknown,2019– ,English,45min,History,"Don Wildman,Steve Busti,Loren Coleman",,Official site,https://www.travelchannel.com/shows/beyond-the-unknown,"Take strange occurrences, weird events, and unexplained happenings and put them all together. That is what you get with Beyond the Unknown. Each episode shows you something different.",71000,5.8,
Yu-Gi-Oh! Vrains,2017– ,"English,Japanese",24min,"Animation,Fantasy",Kazuki Takahashi,"Jake Paque,Barrett Leddy,Mark Schenfisch",Official Website,http://starlightanimationstudios.webs.com/yugioh-vi,"The theme for the new work is ""Let's take one step forward and try it!"" Yuusaku hates standing out, and at his school he doesn't. However, Yuusaku starts meeting others through duels, and starts moving forward.",207000,6.3,
The Curse of Civil War Gold,2018– ,English,42min,"Documentary,Reality-TV","Robert Clotworthy,Kevin Dykstra,Al Dykstra",,Official site,https://www.history.com/shows/the-curse-of-civil-war-gold,Kevin Dykstra and his team base their search for Civil War Gold in Michigan on a deathbed confession from a lighthouse keeper in the 1890s.,377000,6.3,
Cop Shop,1977–1984,English,50min,"Action,Crime,Drama",Terry Stapleton,"Paula Duncan,Gregory Ross,Gil Tucker",Crawford's Official DVD Releases,https://crawfordsdvd.com.au/tv-series/cop-shop.html,Life in a suburban Australian police station.,86000,7.6,
Amazing Hotels: Life Beyond the Lobby,2017– ,English,1h,Documentary,"Giles Coren,Monica Galetti",,Official Site,http://www.bbc.co.uk/programmes/b08l2m2x,Giles Coren and Monica Galetti travel the globe visiting some of the world's most incredible hotels. They go beyond the lobby to see the areas that the public never see and roll up their sleeves to work alongside staff.,313000,7.8,https://imdb.com/video/vi3928538393?playlistId=tt6684082&ref_=tt_ov_vi
Sticky,2018– ,English,,Comedy,Ed Tracy,"Tom Hardy,Kayvan Novak,Javone Prince",Official site,http://too-tall.com/,"Adult-only animated sitcom follows four best friends (Herbert, Ashley, Ziggy, and Jay) who attend a college located in London's mythical borough of Shatford.",49000,5.3,
Gold Rush: Freddy Dodge's Mine Rescue,2021– ,English,,Reality-TV,"Paul Christie,Fred Dodge,Juan Ibarra",,,,Freddy helps mine owners who've sunk everything into their operations but are ready to call it quits.,154000,8.0,
Kuntergrau,2015– ,"German,English",,Drama,"Fabian Freistühler,Daniel Kosic,Moustafa Tarraf",,"Facebook,Official Website","https://www.facebook.com/kuntergrauserie,http://www.kuntergrau.net/","In Kuntergrau, coming out is part of the past while sex and love is mundane. A group of five gay friends between 17 and 24 deals with everyday problems and experiences the meaning of love, sex, and friendship.",143000,6.8,
Sherwood,2019– ,English,22min,Animation,"Megan Laughton,Diana Manson","Anya Chalotra,Tyler Posey,Aneurin Barnard",,,Teen hacker Robin of Sherwood joins forces with a group of renegades to battle the mad Sheriff of Nottingham through the flooded storm-lashed streets of 23rd century London.,210000,5.9,
Texas Metal,2017–2020,English,1h,Reality-TV,"Bill Carlton,Tim Donelson,Jessie Flores",,Official Website,https://www.velocity.com/tv-shows/texas-metal/,"With dozens of awards on their walls, crowds of adoring fans, and a several months long waitlist, this Texas team always has their hands full with rowdy customers, challenging builds and tight timelines. They average 25 to 30 builds a month, working on everything on wheels from muscle cars to monster trucks.",112000,7.0,
Porn,2016– ,English,30min,Comedy,"James Sebastian,Matthew Ferdenzi,Charlotte Lewington",,Production Information,http://disclosuregroup.blogspot.co.uk/2012/07/no-sex-please-were-british.html,"Staring James Sebastian, Lily Joseph, Charlotte Lewington, Matt Ferdenzi, Matthew Hendrickson, Mark McKirdy, Catherine Adams, PORN is about 5 porn stars in a struggling porn company falling at the feet of free online content.",51000,6.4,
H2O: Mermaid Adventures,2015– ,"German,English",25min,"Animation,Adventure,Comedy,Drama,Family,Fantasy,Romance","Sonja Ball,Holly Gauthier-Frankel,Thor Bishopric",,Official Site,http://h2omermaidadventures.zdfe-b2b.de/,When three normal teenage girls stumble upon an ancient cave they undergo a transformation that will change their lives forever.,147000,5.7,
Gecenin Kraliçesi,2016,Turkish,2h,"Action,Drama,Romance","Meryem Uzerli,Murat Yildirim,Ugur Polat",,"Official Facebook,Official Instagram","https://www.facebook.com/geceninkralicesi,https://www.instagram.com/geceninkralicesi/",Kartal is an orphan who is raised by Aziz the man who killed his father. Kartal married Aziz's daughter Esra but falls to Selin and feels obligated to leaves her.,425000,5.3,
Great Scott!,1992,English,30min,Comedy,"Tom Gammill,Max Pross","Tobey Maguire,Nancy Lenehan,Kevin Connolly",,,"Scott is an average teenager who's compared to his over achieving cousin Larry by his parents Walter and his anxious mom Beverly. Scott dreams of heroic or championship deeds, usually at the worst moments leading to embarrassment.",50000,7.4,
Five Points,2018–2019,English,,Drama,"Madison Pettis,Nathaniel J. Potvin,Hayley Kiyoko",,Official Facebook,https://www.facebook.com/fivepoints/,"Five high school students from Chicago experience a life-changing event, told from different points of view. Each perspective is crucial to unveiling the truth.",126000,6.9,https://imdb.com/video/vi2901524761?playlistId=tt7592742&ref_=tt_ov_vi
La Tempestad,2013– ,Spanish,42min,"Drama,Romance","Ximena Navarrete,Iván Sánchez,William Levy",,,,Marina is a young and beautiful woman who gets fired one day as she tries to help a colleague who's been raped. An unsuspected twist of faith lands her in a car with a mysterious woman Mercedes who offers her a job at a small fishing village. She accepts when her mother's health declines and hopes that the sea side will offer both of them something good. Arriving at t...,338000,6.8,
Livvagterne,2009–2010,Danish,1h,"Crime,Drama,Mystery","Mai Brostrøm,Peter Thorsboe","Cecilie Stenspil,Søren Vejby,André Babikian",Official site (Denmark),http://www.dr.dk/livvagterne/,"Bodyguards in PET, 3 newly trained in particular, are followed while doing their job protecting the PM, other ministers and other political individuals threatened with attacks.",1100,7.3,
Al-Zeer Salem,2000– ,Arabic,,"Action,Biography,Drama,History,War",Mamdouh Adwan,"Zuhair Abdlulkarim,Rafik Ali Ahmad,Najah Alabdullah",,,"Its events on Zeer Salem, which sparked the forty years war about the killing of his brother.",2000,9.3,
Ein starkes Team,1994– ,German,1h 30min,Crime,"Florian Martens,Jaecki Schwarz,Arnfried Lerche",,Official site,http://www.ufa.de/produktionen/serie_reihe/ein_starkes_team___uebersicht,"It's coming up to 20 years since our illustrious Trio set off to solve some of Berlin's more bizarre murder mysteries. The success of the shows longevity hinges around the humor of former DDR Volkspolizei detective Otto (Florian Martens) who never seems to quite mange to adapt to the Western Way of Policing and his eccentric friend ""Sputnik"" (Jaecki Schwarz). In this ...",131000,7.0,
Langt fra Las Vegas,2001–2003,Danish,25min,"Drama,Comedy","Casper Christensen,Frank Hvam","Casper Christensen,Frank Hvam,Klaus Bondam",Official Page,http://zulu.dk/?type_id=1098,"The unpredictable comedian Casper, the pitiful sports-commentator Kenny and the eccentric boss Buckingham are just some of the loving characters we meet in this series about money, sex, and career - all revolving around the political incorrect TV-production, JumpStart.",2100,7.4,
Xavier Riddle and the Secret Museum,2019– ,English,25min,"Animation,Adventure,Comedy,Family,History","Chris Eliopoulos,Brad Meltzer","Aidan Vissers,Zoe Hatz,Wyatt White",Official Website,https://pbskids.org/xavier,"Xavier Riddle and the Secret Museum is an animated adventure-comedy for kids 4-7 inspired by Brad Meltzer and Chris Eliopoulos's best-selling kids book series, Ordinary People Change the World.",71000,8.4,
Kardes Payi,2014–2015,"Turkish,English",1h 10min,"Comedy,Drama,Family","Ahmet Kural,Murat Cemcir,Seda Bakan",,,,The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,15000,8.6,
Ahiru No Sora,2019– ,Japanese,,"Animation,Sport","Cameron Bautsch,Greg Cote,Joe Daniels",,Original Site,http://ahirunosora.jp/,"He's short, weak, and has just transferred to a new school. Kurumatani Sora is the main character in this story who loves basketball. He has been shooting hoops ever since he was little and has been trying to grow tall just like his mother, who ""used"" to be a basketball player. What has happened to her and what Sora is going to do at the new school is all up to you to...",431000,7.5,
The 2000s,2018,English,1h,Documentary,"Renee Graham,Julian Zelizer,Todd Boyd",,,,"A TV documentary miniseries chronicling the trends, pop culture, and important events that took place from 2000 to 2009.",784000,8.1,
Ghost Hunt,2006– ,"Japanese,English",25min,"Animation,Comedy,Drama,Horror,Mystery,Thriller","Colleen Clinkenbeard,Todd Haberkorn,Cherami Leigh",,Official site (Japan),http://www.ghosthunt.jp/,Shibuya Psychic Research Center investigates supernatural occurrences all over Japan.,1300,7.6,
Back Arrow,2021– ,Japanese,,"Animation,Action,Adventure,Fantasy,Sci-Fi","Larry Brantley,Charles C. Campbell,Amber Lee Connors",,Official site (Japan),https://back-arrow.com/,"Lingalind is a land enclosed by the Wall. The Wall covers, protects, cultivates, and nurtures the land. One day in Edger, a village on the outskirts of Lingalind, a mysterious man named Back Arrow appears.",79000,7.2,
Executive Suite,1976–1977,English,1h,Drama,"Mitchell Ryan,Stephen Elliott,Sharon Acker",,,,"The machinations of the powerful Cardway Corporation, headed by president Don Walling.",24000,7.3,
Eek! the Cat,1992–1997,English,30min,"Animation,Adventure,Comedy,Family","Savage Steve Holland,Bill Kopp","Tawny Kitaen,Charlie Adler,Bill Kopp",,,"The comical misadventures of Eek, a kind-hearted anthropomorphic purple cat who finds himself in constant mortal danger while trying to help others. The show had two more segments - The Terrible Thunderlizards and Klutter.",2900,7.1,
Mighty Magiswords,2015–2018,English,3min,"Animation,Short,Action,Adventure,Comedy,Family,Fantasy",Kyle A. Carrozza,"Kyle A. Carrozza,Grey Griffin,Eric Bauza",,,"Two clumsy siblings search for legendary Magiswords to aid them in their ""Warriors for Hire"" business.",974000,4.8,https://imdb.com/video/vi783073561?playlistId=tt4847134&ref_=tt_ov_vi
We Baby Bears,2022– ,English,,"Animation,Adventure,Comedy,Family,Fantasy",,,,,"The bear siblings, Grizz, Panda and Ice Bear, in different locations around the world, on their journey to find a perfect permanent home.",0,,
Monsuno,2011– ,"Japanese,English",,"Animation,Action,Adventure,Sci-Fi","Jared Wolfson,Joe Casey,Joe Kelly","Masami Iwasaki,Aki Kanada,Sachi Kokuryu",Official site,http://www.monsuno.com/,A group of young friends find monster DNA.,506000,4.9,https://imdb.com/video/vi461285145?playlistId=tt1579911&ref_=tt_ov_vi
Little Women: Atlanta,2016– ,English,40min,Reality-TV,"Amanda Salinas,Andrea Salinas,Monie Cashette",,Official site,http://www.mylifetime.com/shows/little-women-atlanta,"This is a reality show that follows a group of little women living in Atlanta as they deal with drama, friendship, careers and men.",285000,5.2,https://imdb.com/video/vi2573122585?playlistId=tt5690880&ref_=tt_ov_vi
Ramayan,2008–2009,Hindi,45min,"Adventure,Drama,Fantasy,History,War","Gurmeet Choudhary,Debina Bonnerjee,Ankit Arora",,dailymotion,https://www.dailymotion.com/video/x5h1xej,Ramayan is the epic tale of prince Ram.,267000,7.5,
Lolita PG House Part 1,2021– ,Hindi,,"Drama,Romance","Shahbaaz Khan,Abha Paul,Nimai Bali",,,,"Lolita is a lonely woman, whose husband has left her and she has to start a PG to pay Bank EMI and loans. But doing business is not easy for a single woman. To succeed, Lolita uses her attractive looks and curvy figure to seduce all those who come to trouble her.",10000,7.6,https://imdb.com/video/vi3684024345?playlistId=tt14232598&ref_=tt_ov_vi
Sto para 5,2005–2007,"Greek,English",45min,"Comedy,Drama,Mystery","Smaragda Karydi,Elissavet Konstantinidou,Giorgos Kapoutzidis",,,,Five strangers witness the death of a former government official in an elevator of a luxurious hotel and they soon find themselves tangled in a huge mystery.,4500,8.6,
A.S.K.,2013,Turkish,1h 40min,"Drama,Romance","Nebahat Çehre,Hazal Kaya,Hakan Kurtas",,"Official Site Gold Film,Official Site Kanal D","http://www.goldfilm.com.tr/yapim/ask,https://www.kanald.com.tr/ask","Azra and Kerem is a couple who meets Sebnem, however Sebnem doesn't know they're together. Sebnem has cancer, the doctor said she will die soon. Sebnem is in love with Kerem. Kerem and Azra decides to get Kerem in a relationship with Sebnem.",209000,3.7,
